source,caption,timestamp,likes,comments,shares,saves,plays,accounts_reached,word_count,hashtag_count,is_long_caption,is_trial_reel,content_type,hour,weekday,month,is_duplicate_caption,likes_per_view,comments_per_view,shares_per_view,saves_per_view
post,Need more gym clothes 😫😫 I'm running out #gymselfie #gymmotivation,2025-05-05 14:53:02-07:00,116,4,17,92,2824,2525,9,2,False,False,other,14,Monday,May,False,0.04107648725212465,0.00141643059490085,0.0060198300283286115,0.032577903682719546
post,Back + Biceps complete 💪 #gym #gymlife,2025-04-29 14:26:40-07:00,154,3,45,158,3813,3434,6,2,False,False,workout,14,Tuesday,April,False,0.04038814581694204,0.0007867820613690008,0.011801730920535013,0.04143718856543404
post,All black outfit 🖤,2025-04-26 11:17:52-07:00,111,3,26,131,3428,3136,3,0,False,False,other,11,Saturday,April,False,0.0323803967327888,0.0008751458576429405,0.007584597432905484,0.0382147024504084
post,Fit for the day 💅✨,2025-04-20 22:55:52-07:00,104,3,17,113,3119,2847,4,0,False,False,other,22,Sunday,April,False,0.03334402051939724,0.0009618467457518436,0.0054504648925937805,0.036229560756652776
reel,"Proof that progress powers confidence.
From 67 kg to 59 kg this isn't just a weight change, it's a whole glow-up.

You can see it in my posture, my poses, my smile. I started showing up as her, hair done, makeup on, wearing outfits I used to shy away from.

But more than anything, I finally feel comfortable in my own body. This is what happens when you choose yourself, stay consistent, and let confidence grow with every step 🫶

#weightlosstransformation #glowupjourney #girlswholift",2025-07-28 00:16:50-07:00,495,18,52,111,10020,9031,82,3,True,False,other,0,Monday,July,True,0.04940119760479042,0.0017964071856287425,0.005189620758483034,0.011077844311377245
reel,"Proof that progress powers confidence.
From 67 kg to 59 kg this isn't just a weight change, it's a whole glow-up.

You can see it in my posture, my poses, my smile. I started showing up as her, hair done, makeup on, wearing outfits I used to shy away from.

But more than anything, I finally feel comfortable in my own body. This is what happens when you choose yourself, stay consistent, and let confidence grow with every step 🫶

#weightlosstransformation #glowupjourney #girlswholift",2025-07-28 00:13:52-07:00,49,0,19,15,2698,2584,82,3,True,True,other,0,Monday,July,True,0.01816160118606375,0.0,0.007042253521126761,0.005559673832468495
reel,"Proof that progress powers confidence.
From 67 kg to 59 kg this isn't just a weight change, it's a whole glow-up.

You can see it in my posture, my poses, my smile. I started showing up as her, hair done, makeup on, wearing outfits I used to shy away from.

But more than anything, I finally feel comfortable in my own body. This is what happens when you choose yourself, stay consistent, and let confidence grow with every step 🫶

#weightlosstransformation #glowupjourney #girlswholift",2025-07-28 00:13:15-07:00,122,0,44,32,3811,3618,82,3,True,True,other,0,Monday,July,True,0.03201259511939124,0.0,0.011545526108632905,0.00839674626082393
reel,"Proof that progress powers confidence.
From 67 kg to 59 kg this isn't just a weight change, it's a whole glow-up.

You can see it in my posture, my poses, my smile. I started showing up as her, hair done, makeup on, wearing outfits I used to shy away from.

But more than anything, I finally feel comfortable in my own body. This is what happens when you choose yourself, stay consistent, and let confidence grow with every step 🫶

#weightlosstransformation #glowupjourney #girlswholift",2025-07-28 00:12:47-07:00,104,1,23,21,3985,3789,82,3,True,True,other,0,Monday,July,True,0.026097867001254705,0.0002509410288582183,0.005771643663739021,0.005269761606022585
reel,"4-Ingredient High-Protein Mango Smoothie 🍹💪

Quick, creamy, and packed with protein:

🥭 1 mango
🥛 1/2 cup whole milk
🍦 1/2 cup Greek yogurt
💪 1 scoop vanilla protein (30g protein)

✨ I recommend adding a little honey for sweetness and ice to make it extra thick and refreshing!

➡️ ~425 calories | 45g protein

Want a lighter version? Swap the mango for berries to cut down the calories while keeping the protein high 👀

Perfect for post-workout or a filling snack!
.
.
#highproteinsmoothie #mangosmoothie #proteinrecipe #postworkoutfuel #healthyrecipes #smoothieideas #fitwithjevan",2025-07-26 23:43:31-07:00,102,9,7,17,4278,4229,83,7,True,False,recipe,23,Saturday,July,False,0.023842917251051893,0.0021037868162692847,0.0016362786348761104,0.003973819541841982
reel,"4-Ingredient High-Protein Mango Smoothie 🍹💪

Quick, creamy, and packed with protein:

🥭 1 mango
🥛 1/2 cup whole milk
🍦 1/2 cup Greek yogurt
💪 1 scoop vanilla protein (30g protein)

✨ I recommend adding a little honey for sweetness and ice to make it extra thick and refreshing!

➡️ ~425 calories | 45g protein

Want a lighter version? Swap the mango for berries or frozen zucchini to cut down the calories while keeping the protein high 👀

Perfect for post-workout or a filling snack!
.
.
#highproteinsmoothie #mangosmoothie #proteinrecipe #postworkoutfuel #healthyrecipes #smoothieideas",2025-07-26 23:39:06-07:00,10,2,3,3,1508,1483,85,6,True,True,recipe,23,Saturday,July,False,0.006631299734748011,0.001326259946949602,0.001989389920424403,0.001989389920424403
